0:0:0:0:0:0:0:1 - - [15/Sep/2019:13:29:17 +0100] "GET /Leoni-Prjt/upStMa HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [15/Sep/2019:13:29:35 +0100] "POST /Leoni-Prjt/UpdateStaMat HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [15/Sep/2019:13:29:40 +0100] "POST /Leoni-Prjt/cherche_materiel HTTP/1.1" 200 2632
0:0:0:0:0:0:0:1 - - [15/Sep/2019:13:29:50 +0100] "GET /Leoni-Prjt/deconnexion HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [15/Sep/2019:13:29:59 +0100] "POST /Leoni-Prjt/connexion HTTP/1.1" 200 2123
0:0:0:0:0:0:0:1 - - [15/Sep/2019:13:30:20 +0100] "POST /Leoni-Prjt/cherche_materiel HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [15/Sep/2019:13:30:26 +0100] "GET /Leoni-Prjt/index HTTP/1.1" 200 2123
0:0:0:0:0:0:0:1 - - [15/Sep/2019:13:44:16 +0100] "GET /Leoni-Prjt/ HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [15/Sep/2019:13:44:22 +0100] "GET /Leoni-Prjt/ HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [15/Sep/2019:13:44:43 +0100] "POST /Leoni-Prjt/connexion HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [15/Sep/2019:13:45:13 +0100] "POST /Leoni-Prjt/connexion HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [15/Sep/2019:13:46:02 +0100] "GET /Leoni-Prjt/Affichage_materiel HTTP/1.1" 200 2820
0:0:0:0:0:0:0:1 - - [15/Sep/2019:13:46:06 +0100] "GET /Leoni-Prjt/AjouterMateriel HTTP/1.1" 200 2293
0:0:0:0:0:0:0:1 - - [15/Sep/2019:13:46:11 +0100] "GET /Leoni-Prjt/index HTTP/1.1" 200 2553
